match_number,date,kickoff_utc,stage,group,home_team,away_team,stadium,host_city,match_url
94,7/6/2026,2026-07-07T00:00:00Z,round-of-16,,United States,Belgium,Lumen Field,seattle,https://www.thestatsapi.com/world-cup/matches/winner-match-81-vs-winner-match-82-2026-07-06
95,7/7/2026,2026-07-07T16:00:00Z,round-of-16,,Argentina,Egypt,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/winner-match-86-vs-winner-match-88-2026-07-07
96,7/7/2026,2026-07-07T20:00:00Z,round-of-16,,Switzerland,Colombia,BC Place,vancouver,https://www.thestatsapi.com/world-cup/matches/winner-match-85-vs-winner-match-87-2026-07-07
97,7/9/2026,2026-07-09T20:00:00Z,quarter-finals,,France,Morocco,Gillette Stadium,boston,https://www.thestatsapi.com/world-cup/matches/winner-match-89-vs-winner-match-90-2026-07-09
98,7/10/2026,2026-07-10T19:00:00Z,quarter-finals,,Spain,Belgium,SoFi Stadium,los-angeles,https://www.thestatsapi.com/world-cup/matches/winner-match-93-vs-winner-match-94-2026-07-10
99,7/11/2026,2026-07-11T21:00:00Z,quarter-finals,,Norway,England,Hard Rock Stadium,miami,https://www.thestatsapi.com/world-cup/matches/winner-match-91-vs-winner-match-92-2026-07-11
100,7/11/2026,2026-07-12T01:00:00Z,quarter-finals,,Argentina,Switzerland,Arrowhead Stadium,kansas-city,https://www.thestatsapi.com/world-cup/matches/winner-match-95-vs-winner-match-96-2026-07-11
101,7/14/2026,2026-07-14T19:00:00Z,semi-finals,,France,Spain,AT&T Stadium,dallas,https://www.thestatsapi.com/world-cup/matches/winner-match-97-vs-winner-match-98-2026-07-14
102,7/15/2026,2026-07-15T19:00:00Z,semi-finals,,England,Argentina,Mercedes-Benz Stadium,atlanta,https://www.thestatsapi.com/world-cup/matches/winner-match-99-vs-winner-match-100-2026-07-15
103,7/18/2026,2026-07-18T21:00:00Z,third-place,,France,England,Hard Rock Stadium,miami,https://www.thestatsapi.com/world-cup/matches/loser-match-101-vs-loser-match-102-2026-07-18
104,7/19/2026,2026-07-19T19:00:00Z,final,,Spain,Argentina,MetLife Stadium,new-york,https://www.thestatsapi.com/world-cup/matches/winner-match-101-vs-winner-match-102-2026-07-19
